COMPANY_NAME,AVG_EXPERIENCE,INDUSTRY,LOCATION_1,COMPANY_SCORE,EXPERIENCE_SCORE,INDUSTRY_SCORE,LOCATION_SCORE,SALARY
Get jobs like this in my inbox,2,"Advertising, PR, Events, Agriculture, Dairy, Forestry, Fishing, Airlines, Aviation, Aerospace, Automotive, Automobile, Ancillaries, Banking, Accounting, Financial Services, Wellness, Fitness, Sports, Beverages, Liquor, Bio Technology & Life Sciences, Cement, Concrete, Readymix, Plastic, Rubber, Construction & Engineering, Consulting, Advisory Services, FMCG, Courier, Freight, Transportation, Internet, E-commerce, Education, Entertainment, Media, Publishing, Fertilizer, Pesticides, Food & Packaged Food, Textiles, Yarn, Fabrics, Garments, Gems & Jewellery, Government, PSU, Defence, Consumer Electronics, Durables, Appliances, Hospitals, Healthcare, Diagnostics, Hotels, Hospitality, Restaurant, General Trading, Import, Export, Insurance, Iron, Steel, ISP, ITES, BPO, IT, Computers - Hardware & Networking, IT, Computers - Software, Leather, Machinery, Equipment Mfg., Market Research, Medical Transcription, Mining, NGO, Social Services, Non-Ferrous Metals (Aluminium, Zinc etc.), Office Equipment, Automation, Oil, Gas, Petroleum, Pharmaceutical, Paints, Paper, Power, Energy, Printing, Packaging, Public Relations (PR), Real Estate, Retailing, Shipping, Marine Services, Telecom, Travel, Tourism, Tyres, Wood, Electronics Manufacturing, Railways Speciality, Infrastructure, Recruitment, Staffing, RPO, Sugar, E-Learning, Engineering, Procurement, Construction, Facility management, Social Media, Semiconductor, KPO, Research, Analytics, Electrical, Switchgears, Chemicals, Petrochemicals, Ceramics & Sanitary Ware, Law Enforcement, Security Services, Environmental Service, Heat Ventilation Air Conditioning (HVAC), Glass, Animation, Architecture, Interior Design, Engineering & Design, Escalators, Elevators, Legal, Law Firm, Fashion, Apparels",Bengaluru,1,2,1,5,365000
Biz Industries,1,"IT, Computers - Hardware & Networking",Delhi,1,1,3,5,200000
Biz Industries,1,Pharmaceutical,Mumbai,1,1,1,5,200000
Biz Industries,1,Electronics Manufacturing,Mumbai,1,1,1,5,200000
Biz Industries,1,"ITES, BPO",Mumbai,1,1,3,5,200000
Biz Industries,1,"IT, Computers - Hardware & Networking",Mumbai,1,1,3,5,200000
Biz Industries,1,"IT, Computers - Hardware & Networking",Hyderabad,1,1,3,5,200000
Biz Industries,1,Electronics Manufacturing,Mumbai,1,1,1,5,200000
Biz Industries,1,"IT, Computers - Software",Mumbai,1,1,3,5,200000
Biz Industries,1,"ITES, BPO",Hyderabad,1,1,3,5,200000
Biz Industries,1,"IT, Computers - Hardware & Networking",Hyderabad,1,1,3,5,200000
Biz Industries,1,Construction & Engineering,Mumbai,1,1,1,5,200000
Biz Industries,1,Engineering & Design,Hyderabad,1,1,1,5,200000
Biz Industries,1,Construction & Engineering,Delhi,1,1,1,5,200000
